Genes,adjpval,log2FC,color
PLA2G6,0.299005353540293,0.4629995333289347,grey
PKM,0.415631756876381,-0.080873735735316,grey
PITPNB,0.426759574330421,0.1166285592075371,grey
PITHD1,0.0294846286911385,0.4228208862025864,grey
PIP4P2,0.30739382043827,0.1648194681742524,grey
PIN1,0.348437218818362,0.0691147172790561,grey
PI4KA,0.450509833587296,0.1958649067932409,grey
PHGDH,0.0158443013528095,0.3424945460433741,grey
PHF6,0.0152711081793307,-0.6396817943862454,grey
PHF5A,0.0543588836621709,-0.3566193472337098,grey
POLDIP2,0.0124775763047535,-0.4931792962145438,grey
POLDIP3,0.111304989082588,-0.2163212993252881,grey
POLR1D,0.166367442467031,0.3688485558991928,grey
POLR2B,0.539568287374564,0.0611734012941156,grey
PPTC7,0.0189529505049475,-0.3521925029489633,grey
PPT1,0.543403626465238,-0.0720495272045975,grey
PPP3R1,0.0456154517913391,1.196075798896901,grey
PPP3CC,0.0094361750606539,0.6444913790732986,grey
PPP3CB,0.00178003258103,1.0905595473797236,grey
PPP3CA,0.0012622180122867,0.8698843857489393,grey
PPP2R2A,0.0516421305814838,0.392865239754266,grey
PPP2R1A,0.0067796254302868,0.5206862770442476,grey
PPP1R9B,0.0494102574565853,0.942505450923399,grey
PPP1CB,0.116496411376911,0.2285834389758613,grey
PPP1CA,0.374231388106086,0.0973194043761875,grey
PPOX,0.476840102484873,-0.0375980140620456,grey
PPM1G,0.0110891268483664,0.3980749650788516,grey
PPM1B,0.0221670116773839,0.2818363973261359,grey
PPM1A,0.15525625974267,-0.1354446269212507,grey
PPIL3,0.0370754442153564,0.2782096636180339,grey
PPIH,0.738821824245939,-0.0366279856274029,grey
PPIG,0.239465320898575,-0.4025829909648883,grey
PPID,0.0386974744155789,0.2517682321209594,grey
PPIB,0.732989493303732,0.0696759481766323,grey
PPIA,0.0418594922891813,-0.2530264935699847,grey
PPDPF,0.0350212570296447,-0.5234413976191616,grey
PPAT,0.614736447488268,-0.1121024308841406,grey
PPA1,0.48492452543169,-0.0874828955339129,grey
POU3F1,0.838846068476319,0.1429304392440339,grey
POR,0.235809903460415,-0.1087577988807756,grey
POP4,0.861310724254513,-0.0005444308049266,grey
PSMD5,0.0087320403707645,0.4167019590487487,grey
PSMD6,0.0028884303261364,0.669204889250891,grey
PSMD7,0.0531167593401169,0.3850921261485425,grey
RAMAC,0.0323609638283001,-0.7236422192610754,grey
RBFOX3,0.0062680438564334,-0.5387086501922849,grey
RBFOX2,0.0110891268483664,-0.418267473390313,grey
RBBP4,0.156302091630539,0.1536606617183161,grey
RARS2,0.571215485622619,-0.0304854846188693,grey
RARS1,0.35198302575446,0.0862110528441048,grey
RAPH1,0.758115395479907,0.0221758678076986,grey
RAP2C,0.0286917703593035,-1.0736232275265398,grey
RAP2A,0.0142313824509308,-1.0606853104042286,grey
RAP1GDS1,0.127103182465718,0.3261002347928043,grey
RAP1A,0.174225964205316,-0.2409057092638338,grey
RANGAP1,0.442277383709644,-0.0609303373382415,grey
RANBP1,0.0370754442153564,0.318476675824238,grey
RAN,0.0221670116773839,-0.583756339696543,grey
RALY,0.03325400424606,-0.6330324672534533,grey
RABGAP1,0.151439399178507,0.2016367181989791,grey
RALA,0.0609839087707779,-0.2763213070167611,grey
RAI14,0.0530589301994885,0.2510425694911466,grey
RAF1,0.498032226012688,0.0823663101679533,grey
RAE1,0.964609348458621,0.0060827975597072,grey
RAD50,0.914489781939574,-0.0060820244616357,grey
RAD23B,0.0243943816870065,0.3040438664820126,grey
RACK1,0.129516478346375,-0.2209617953377706,grey
RAC3,0.0229114028032148,-0.3501438067269178,grey
RAC1,0.0016306997339571,-0.7878195344682005,grey
RABL6,0.706143496936583,0.1078615376170512,grey
RABL3,0.0121297197089359,-0.7075352742180533,grey
RABIF,0.869109406770662,0.0037205976584708,grey
